AI導線 フロント転換 詳細分析 (2026-03-01 〜 2026-04-05)
生成日時: 2026-04-05T05:42:00.469Z

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
■ 全CR一覧（消化¥3,000以上、消化額順）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
CR        | キャンペーン名                                       | AC          | キャンプ数 |     消化額 |  IMP    | クリック | CTR%   | CPC    | API_CV | CPA     | オプト | OTO | 3day | フロ計 | 転換率 | フロCPO
CR01062   | 260317/千葉信輝/2026年3月度勝ちCR/LP1-CR01062               | AI_3        |        1 | ¥ 113,781 |  89,986 |    323 |  0.36% | ¥ 352 |      6 | ¥18,964 |    22 |   2 |    0 |      2 |   9.1% |    ¥56,891
CR01011   | 260307/在中悠也/二極化/LP1-CR01011                        | AI_1        |        1 | ¥  84,730 |  55,081 |  7,136 | 12.96% | ¥  12 |     23 | ¥ 3,684 |    38 |   1 |    0 |      1 |   2.6% |    ¥84,730
CR01059   | 260316/鈴木織大/ClaudeCodeレベル/LP1-CR01059              | AI_1        |        1 | ¥  83,285 |  36,462 |    282 |  0.77% | ¥ 295 |     31 | ¥ 2,687 |    38 |   1 |    0 |      1 |   2.6% |    ¥83,285
CR00980   | 260228/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_3        |        1 | ¥  78,313 |  63,696 |    307 |  0.48% | ¥ 255 |     19 | ¥ 4,122 |    24 |   0 |    0 |      0 |   0.0% |          -
CR00213   | 260304 AI スマ AIまとめ(勝ち_0920休日強化用)  LP2-CR00213      | AI_3,AI_4   |        2 | ¥  77,827 | 132,199 |    490 |  0.37% | ¥ 159 |      6 | ¥12,971 |    23 |   2 |    0 |      2 |   8.7% |    ¥38,914
CR00002   | 260310/AI/Claudeはプロンプトが重要/LP3-CR00002              | AI_1,AI_3   |        2 | ¥  72,780 | 182,007 |    557 |  0.31% | ¥ 131 |      8 | ¥ 9,098 |    26 |   2 |    0 |      2 |   7.7% |    ¥36,390
CR00206   | 260226/AI/プロンプト_お絵描きムービー/LP2-CR00206               | AI_1        |        1 | ¥  60,047 |  26,787 |    175 |  0.65% | ¥ 343 |      6 | ¥10,008 |    12 |   1 |    0 |      1 |   8.3% |    ¥60,047
CR01099   | 260324/鈴木織大/ClaudeCodeレベル/LP1-CR01099              | AI_2        |        1 | ¥  58,875 |  19,972 |    164 |  0.82% | ¥ 359 |     27 | ¥ 2,181 |    33 |   2 |    0 |      2 |   6.1% |    ¥29,438
CR01053   | 260314/AI/一撃YouTube動画作成_途中CTAあり/LP1-CR01053        | AI_1        |        1 | ¥  57,600 |  19,009 |    188 |  0.99% | ¥ 306 |     19 | ¥ 3,032 |    15 |   3 |    0 |      3 |  20.0% |    ¥19,200
CR01060   | 260316/鈴木織大/ClaudeCodeレベル（CTAなし）/LP1-CR01060       | AI_1        |        1 | ¥  57,142 |  36,954 |    251 |  0.68% | ¥ 228 |     18 | ¥ 3,175 |    20 |   2 |    0 |      2 |  10.0% |    ¥28,571
CR00952   | 260226/AI/Claudeはプロンプトが重要/LP1-CR00952              | AI_1        |        1 | ¥  56,313 |  24,732 |    116 |  0.47% | ¥ 485 |     10 | ¥ 5,631 |    15 |   1 |    0 |      1 |   6.7% |    ¥56,313
CR01128   | 260327/鈴木織大/一撃YouTube動画作成_途中CTAあり/LP1-CR01128      | AI_4        |        1 | ¥  56,240 |  79,947 |    257 |  0.32% | ¥ 219 |      0 | ¥     0 |    32 |   3 |    0 |      3 |   9.4% |    ¥18,747
CR00210   | 260304/AI/AIに仕事奪われる/LP2-CR00210                    | AI_1        |        1 | ¥  54,745 |  23,657 |    142 |  0.60% | ¥ 386 |     10 | ¥ 5,475 |    18 |   2 |    0 |      2 |  11.1% |    ¥27,373
CR00178   | 260404/横展開/CR178_横展開/LP1-CR01156                   | AI_1,AI_2,AI_3 |        6 | ¥  53,740 |  60,142 |    345 |  0.57% | ¥ 156 |     19 | ¥ 2,828 |     0 |   0 |    0 |      0 |      - |          -
CR00240   | 260326/千葉信輝/スマ AIまとめ(林社長関連)/LP2-CR00240            | AI_3        |        1 | ¥  52,126 |  18,329 |    101 |  0.55% | ¥ 516 |     14 | ¥ 3,723 |    21 |   1 |    0 |      1 |   4.8% |    ¥52,126
CR00004   | 260324/楢木野萌/お絵描きムービー（プロンプト）/LP6-CR00004            | AI_1,AI_2   |        2 | ¥  52,060 |  83,993 |    317 |  0.38% | ¥ 164 |     13 | ¥ 4,005 |    15 |   2 |    0 |      2 |  13.3% |    ¥26,030
CR00979   | 260228/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_2        |        1 | ¥  48,672 |  19,372 |    140 |  0.72% | ¥ 348 |     19 | ¥ 2,562 |    24 |   3 |    0 |      3 |  12.5% |    ¥16,224
CR01127   | 260328/鈴木織大/ClaudeCode解説/LP1-CR01127               | AI_1        |        1 | ¥  46,766 |  34,525 |    184 |  0.53% | ¥ 254 |     21 | ¥ 2,227 |    24 |   0 |    0 |      0 |   0.0% |          -
CR01049   | 260314/AI/2026年AIツール_全ツール紹介_CTAなし/LP1-CR01049      | AI_1        |        1 | ¥  44,348 |  28,651 |    329 |  1.15% | ¥ 135 |     15 | ¥ 2,957 |    18 |   0 |    0 |      0 |   0.0% |          -
CR01041   | 260311/AI/AIまとめ1/LP1-CR01041                       | AI_2        |        1 | ¥  42,561 |  18,879 |     92 |  0.49% | ¥ 463 |     13 | ¥ 3,274 |    17 |   1 |    0 |      1 |   5.9% |    ¥42,561
CR00988   | 260301/AI/尻込み_ちえみさん/LP1-CR00988                    | AI_1        |        1 | ¥  41,841 |  16,188 |    160 |  0.99% | ¥ 262 |      9 | ¥ 4,649 |    12 |   0 |    0 |      0 |   0.0% |          -
CR00224   | 260312/AI/ClaudeCode解説/LP2-CR00224                 | AI_1        |        1 | ¥  40,835 |  32,847 |    270 |  0.82% | ¥ 151 |     14 | ¥ 2,917 |    15 |   2 |    0 |      2 |  13.3% |    ¥20,418
CR00998   | 260304/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_3        |        1 | ¥  39,282 |  29,753 |    107 |  0.36% | ¥ 367 |     16 | ¥ 2,455 |    15 |   0 |    0 |      0 |   0.0% |          -
CR01045   | 260312/AI/AI全部やめました渋谷Ver/LP1-CR01045               | AI_1        |        1 | ¥  38,222 |  16,529 |    146 |  0.88% | ¥ 262 |     12 | ¥ 3,185 |    13 |   2 |    0 |      2 |  15.4% |    ¥19,111
CR00217   | 260305/AI/スマ AIまとめ(林社長関連)/LP2-CR00217              | AI_3        |        1 | ¥  36,997 | 158,879 |    508 |  0.32% | ¥  73 |      5 | ¥ 7,399 |    16 |   0 |    0 |      0 |   0.0% |          -
CR01123   | 260327/高橋海斗/ターミナル/LP1-CR01123                      | AI_1        |        1 | ¥  36,523 |  26,366 |    227 |  0.86% | ¥ 161 |      5 | ¥ 7,305 |    11 |   1 |    0 |      1 |   9.1% |    ¥36,523
CR00216   | 260305/AI/スマ AIまとめ(ALL_tCPA)/LP2-CR00216           | AI_3        |        1 | ¥  35,609 | 178,416 |    508 |  0.28% | ¥  70 |      2 | ¥17,805 |    20 |   0 |    0 |      0 |   0.0% |          -
CR01126   | 260327/千葉信輝/過去の当たりCR/LP1-CR01126                   | AI_1        |        1 | ¥  35,236 |  37,579 |    182 |  0.48% | ¥ 194 |     12 | ¥ 2,936 |    12 |   1 |    0 |      1 |   8.3% |    ¥35,236
CR01141   | 260329/千葉信輝/過去の当たりCR/LP1-CR01141                   | AI_4        |        1 | ¥  35,106 | 226,886 |    567 |  0.25% | ¥  62 |      0 | ¥     0 |    19 |   0 |    0 |      0 |   0.0% |          -
CR01131   | 260328/高橋海斗/【ねねさん】Claude_Code/LP1-CR01131          | AI_1        |        1 | ¥  33,977 |  31,972 |    192 |  0.60% | ¥ 177 |     20 | ¥ 1,699 |    22 |   1 |    0 |      1 |   4.5% |    ¥33,977
CR00211   | 260304 AI スマ AIまとめ(1011休日強化)  LP2-CR00211          | AI_3        |        1 | ¥  33,916 | 135,715 |    399 |  0.29% | ¥  85 |      5 | ¥ 6,783 |    14 |   0 |    0 |      0 |   0.0% |          -
CR00964   | 260227/AI/プロンプト_お絵描きムービー/LP1-CR00964               | AI_1        |        1 | ¥  32,866 |  12,000 |     89 |  0.74% | ¥ 369 |      5 | ¥ 6,573 |     3 |   1 |    0 |      1 |  33.3% |    ¥32,866
CR01076   | 260320/AI/AI1調子いいスマプラ複製/LP1-CR01076                | AI_2        |        1 | ¥  32,263 |  34,763 |    112 |  0.32% | ¥ 288 |      6 | ¥ 5,377 |     7 |   0 |    0 |      0 |   0.0% |          -
CR00999   | 260304/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_3        |        1 | ¥  31,917 |  23,986 |    124 |  0.52% | ¥ 257 |      6 | ¥ 5,320 |     8 |   1 |    0 |      1 |  12.5% |    ¥31,917
CR01136   | 260329/千葉信輝/過去の当たりCR/LP1-CR01136                   | AI_3        |        1 | ¥  31,637 |  19,786 |    148 |  0.75% | ¥ 214 |     10 | ¥ 3,164 |    15 |   0 |    0 |      0 |   0.0% |          -
CR01120   | 260327/高橋海斗/ターミナル/LP1-CR01120                      | AI_1        |        1 | ¥  30,740 |  24,839 |    126 |  0.51% | ¥ 244 |     10 | ¥ 3,074 |    11 |   0 |    0 |      0 |   0.0% |          -
CR01134   | 260329/千葉信輝/過去の当たりCR/LP1-CR01134                   | AI_3        |        1 | ¥  30,511 |  19,387 |    194 |  1.00% | ¥ 157 |     17 | ¥ 1,795 |    20 |   2 |    0 |      2 |  10.0% |    ¥15,256
CR01098   | 260324/鈴木織大/一撃YouTube動画作成_途中CTAあり/LP1-CR01098      | AI_3        |        1 | ¥  30,035 |  10,938 |     61 |  0.56% | ¥ 492 |      1 | ¥30,035 |     8 |   1 |    0 |      1 |  12.5% |    ¥30,035
CR01051   | 260314/AI/2026年AIツール_3ツール紹介_CTAあり/LP1-CR01051      | AI_1        |        1 | ¥  29,988 |  11,764 |    110 |  0.94% | ¥ 273 |      9 | ¥ 3,332 |     9 |   0 |    0 |      0 |   0.0% |          -
CR01004   | 260304/AI/AIまとめ/LP1-CR01004                        | AI_2        |        1 | ¥  28,525 |  17,015 |     78 |  0.46% | ¥ 366 |      8 | ¥ 3,566 |    14 |   1 |    0 |      1 |   7.1% |    ¥28,525
CR00982   | 260228/AI/ちえみさんラップ/LP1-CR00982                     | AI_1        |        1 | ¥  28,456 |  29,480 |    141 |  0.48% | ¥ 202 |      4 | ¥ 7,114 |     4 |   0 |    0 |      0 |   0.0% |          -
CR01008   | 260304/AI/尻込み_ちえみさん/LP1-CR01008                    | AI_1        |        1 | ¥  27,591 |  14,578 |    113 |  0.78% | ¥ 244 |     15 | ¥ 1,839 |    12 |   2 |    0 |      2 |  16.7% |    ¥13,796
CR00239   | 260326/千葉信輝/AIに仕事奪われる/LP2-CR00239                  | AI_1        |        1 | ¥  26,508 |  20,874 |     92 |  0.44% | ¥ 288 |     11 | ¥ 2,410 |     6 |   1 |    0 |      1 |  16.7% |    ¥26,508
CR01119   | 260327/石黒研太/全部やめました/LP1-CR01119                    | AI_1        |        1 | ¥  24,764 |  10,860 |     88 |  0.81% | ¥ 281 |      5 | ¥ 4,953 |     7 |   1 |    0 |      1 |  14.3% |    ¥24,764
CR00989   | 260301/AI/急募_女性走る①/LP1-CR00989                     | AI_1        |        1 | ¥  24,649 |  10,040 |     47 |  0.47% | ¥ 524 |      3 | ¥ 8,216 |     5 |   0 |    0 |      0 |   0.0% |          -
CR00212   | 260304 AI スマ AIまとめ(林社長関連＿複製)  LP2-CR00212          | AI_3        |        1 | ¥  24,046 |  60,198 |    245 |  0.41% | ¥  98 |      0 | ¥     0 |     6 |   0 |    0 |      0 |   0.0% |          -
CR01007   | 260304/AI/尻込み_ちえみさん/LP1-CR01007                    | AI_1        |        1 | ¥  23,450 |  11,672 |    104 |  0.89% | ¥ 225 |      6 | ¥ 3,908 |     9 |   1 |    0 |      1 |  11.1% |    ¥23,450
CR01130   | 260328/高橋海斗/Claude_codeだいさん/LP1-CR01130           | AI_1        |        1 | ¥  21,022 |  13,952 |    101 |  0.72% | ¥ 208 |      3 | ¥ 7,007 |     5 |   0 |    0 |      0 |   0.0% |          -
CR00221   | 260306/AI/プロンプト（お絵描きムービー）/LP2-CR00221/LP2-CR0022   | AI_1        |        1 | ¥  17,875 |  14,068 |     69 |  0.49% | ¥ 259 |      6 | ¥ 2,979 |     0 |   0 |    0 |      0 |      - |          -
CR01050   | 260314/AI/2026年AIツール_3ツール紹介_CTAなし/LP1-CR01050      | AI_1        |        1 | ¥  17,443 |   8,646 |     58 |  0.67% | ¥ 301 |      4 | ¥ 4,361 |     4 |   0 |    0 |      0 |   0.0% |          -
CR01144   | 260402/石黒研太/AI全部やめました渋谷Ver/LP1-CR01144             | AI_1        |        1 | ¥  17,247 |  22,052 |    161 |  0.73% | ¥ 107 |     12 | ¥ 1,437 |     9 |   1 |    0 |      1 |  11.1% |    ¥17,247
CR01101   | 260325/伊藤開己/未来人/LP1-CR01101                        | AI_1        |        1 | ¥  16,025 |   6,998 |     46 |  0.66% | ¥ 348 |      3 | ¥ 5,342 |     4 |   0 |    0 |      0 |   0.0% |          -
CR00218   | 260306/AI/プロンプト（お絵描きムービー）/LP2-CR00218              | AI_1        |        1 | ¥  15,367 |   6,130 |     44 |  0.72% | ¥ 349 |      6 | ¥ 2,561 |     6 |   0 |    0 |      0 |   0.0% |          -
CR01161   | 260404/在中悠也/説明しようAI_冒頭1_林社長/LP1-CR01161            | AI_1        |        1 | ¥  14,806 |   5,042 |     35 |  0.69% | ¥ 423 |      6 | ¥ 2,468 |     7 |   0 |    0 |      0 |   0.0% |          -
CR00981   | 260228/AI/パパの脳内会議/LP1-CR00981                      | AI_1        |        1 | ¥  13,860 |   9,491 |     38 |  0.40% | ¥ 365 |      2 | ¥ 6,930 |     3 |   0 |    0 |      0 |   0.0% |          -
CR01055   | 260315/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_2        |        1 | ¥  13,003 |   7,106 |     34 |  0.48% | ¥ 382 |      2 | ¥ 6,502 |     3 |   0 |    0 |      0 |   0.0% |          -
CR00228   | 260319/AI/一撃YouTube動画作成_途中CTAあり/LP2-CR00228        | AI_1        |        1 | ¥  12,698 |   4,349 |     38 |  0.87% | ¥ 334 |      2 | ¥ 6,349 |     3 |   0 |    0 |      0 |   0.0% |          -
CR01056   | 260315/AI/尻込み_ちえみさん/LP1-CR01056                    | AI_1        |        1 | ¥  12,684 |   6,567 |     74 |  1.13% | ¥ 171 |      3 | ¥ 4,228 |     3 |   0 |    0 |      0 |   0.0% |          -
CR00207   | 260303/AI/プロンプト_お絵描きムービー/LP2-CR00207               | AI_1        |        1 | ¥  12,666 |   4,707 |     29 |  0.62% | ¥ 437 |      1 | ¥12,666 |     3 |   0 |    0 |      0 |   0.0% |          -
CR01034   | 260308/AI/Claudeはプロンプトが重要/LP1-CR01034              | AI_1        |        1 | ¥  12,661 |   8,467 |     35 |  0.41% | ¥ 362 |      3 | ¥ 4,220 |     3 |   0 |    0 |      0 |   0.0% |          -
CR01038   | 260310/AI/AIまとめ/LP1-CR01038                        | AI_2        |        1 | ¥  12,386 |   9,205 |     52 |  0.56% | ¥ 238 |      3 | ¥ 4,129 |     3 |   0 |    0 |      0 |   0.0% |          -
CR01072   | 260319/鈴木織大/一撃YouTube動画作成途中CTAあり/LP1-CR01072       | AI_4        |        1 | ¥  11,700 |   4,410 |     25 |  0.57% | ¥ 468 |      0 | ¥     0 |     2 |   0 |    0 |      0 |   0.0% |          -
CR01102   | 260325/AI/AIまとめ1/LP1-CR01102                       | AI_2        |        1 | ¥  10,494 |   4,047 |     33 |  0.82% | ¥ 318 |      4 | ¥ 2,624 |     5 |   1 |    0 |      1 |  20.0% |    ¥10,494
CR01162   | 260404/在中悠也/説明しようAI_冒頭1_林社長/LP1-CR01162            | AI_2        |        1 | ¥   9,919 |   4,156 |     38 |  0.91% | ¥ 261 |      6 | ¥ 1,653 |     6 |   0 |    0 |      0 |   0.0% |          -
CR00990   | 260301/AI/スピーチ冒頭1/LP1-CR00990                      | AI_1        |        1 | ¥   9,869 |   5,119 |     25 |  0.49% | ¥ 395 |      1 | ¥ 9,869 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00008   | 260328/鈴木織大/箕輪さんまとめ/LP4-CR00008                    | AI_4        |        1 | ¥   9,763 |  56,053 |    109 |  0.19% | ¥  90 |      0 | ¥     0 |     2 |   0 |    0 |      0 |   0.0% |          -
CR00234   | 260321/清水絢吾/林社長/LP2-CR00234                        | AI_2        |        1 | ¥   9,111 |  16,826 |     74 |  0.44% | ¥ 123 |      4 | ¥ 2,278 |     2 |   0 |    0 |      0 |   0.0% |          -
CR01163   | 260404/在中悠也/説明しようAI_冒頭1_林社長/LP1-CR01163            | AI_3        |        1 | ¥   8,547 |   3,032 |     24 |  0.79% | ¥ 356 |      6 | ¥ 1,425 |     4 |   1 |    0 |      1 |  25.0% |     ¥8,547
CR01046   | 260312/AI/【CRチーム】胡散臭い社長_間詰めver/LP1-CR01046         | AI_1        |        1 | ¥   8,157 |   2,951 |     10 |  0.34% | ¥ 816 |      2 | ¥ 4,079 |     2 |   0 |    0 |      0 |   0.0% |          -
CR01001   | 260304/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_2        |        1 | ¥   7,924 |   3,120 |     18 |  0.58% | ¥ 440 |      1 | ¥ 7,924 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01035   | 260308/AI/Claudeはプロンプトが重要/LP1-CR01035              | AI_1        |        1 | ¥   7,793 |  12,799 |     32 |  0.25% | ¥ 244 |      1 | ¥ 7,793 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00991   | 260302/AI/AIチャットボット＿新規録音/LP1-CR00991               | AI_1        |        1 | ¥   7,582 |   5,441 |     36 |  0.66% | ¥ 211 |      1 | ¥ 7,582 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01142   | 260331/AI/一撃YouTube動画作成_途中CTAあり/LP1-CR01142        | AI_1        |        1 | ¥   7,131 |   4,026 |     25 |  0.62% | ¥ 285 |      1 | ¥ 7,131 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00238   | 260326/千葉信輝/AIまとめ（休日ブースト）/LP2-CR00238              | AI_3        |        1 | ¥   6,974 |   5,019 |     31 |  0.62% | ¥ 225 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01080   | 260321/千葉信輝/尻込み＿ちえみさん/LP1-CR01080                  | AI_4        |        1 | ¥   6,956 |   9,852 |     63 |  0.64% | ¥ 110 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00237   | 260323/清水絢吾/林社長/冒頭③_コピー6/LP2-CR00237               | AI_2        |        1 | ¥   6,953 |   5,749 |     14 |  0.24% | ¥ 497 |      1 | ¥ 6,953 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01064   | 260318/AI/ClaudeCode解説/LP1-CR01064                 | AI_3        |        1 | ¥   6,938 |   7,045 |     19 |  0.27% | ¥ 365 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00994   | 260303/AI/Claudeはプロンプトが重要/LP1-CR00994              | AI_1        |        1 | ¥   6,930 |   5,671 |     21 |  0.37% | ¥ 330 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00208   | 260303/AI/プロンプト_お絵描きムービー/LP2-CR00208               | AI_1        |        1 | ¥   6,777 |   2,439 |     18 |  0.74% | ¥ 377 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00997   | 260303/AI/Claudeはプロンプトが重要/LP1-CR00997              | AI_1        |        1 | ¥   6,735 |   4,925 |     14 |  0.28% | ¥ 481 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01009   | 260306/AI/AI副業の嘘2（AI訴求）毎日投稿、 お絵描きムービー（プロンプト）、 AI   | AI_3        |        1 | ¥   6,729 |  17,916 |    101 |  0.56% | ¥  67 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00968   | 260227/AI/完全オール/LP1-CR00968                        | AI_1        |        1 | ¥   6,684 |   2,725 |     15 |  0.55% | ¥ 446 |      2 | ¥ 3,342 |     2 |   0 |    0 |      0 |   0.0% |          -
CR00995   | 260303/AI/ヒカルさんAI学ぶな/LP1-CR00995                   | AI_1        |        1 | ¥   6,674 |   2,970 |     26 |  0.88% | ¥ 257 |      1 | ¥ 6,674 |     1 |   0 |    0 |      0 |   0.0% |          -
CR00958   | 260226/AI/スピーチ冒頭1/LP1-CR00958                      | AI_1        |        1 | ¥   6,406 |   3,933 |     18 |  0.46% | ¥ 356 |      2 | ¥ 3,203 |     2 |   0 |    0 |      0 |   0.0% |          -
CR01006   | 260304 AI スマ AIまとめ(箕輪＆3兆円)  LP1-CR01006            | AI_3        |        1 | ¥   6,096 |  12,344 |     69 |  0.56% | ¥  88 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01077   | 260320/AI/AI1調子いいスマプラ/LP1-CR01077                  | AI_3        |        1 | ¥   6,012 |   6,295 |     28 |  0.44% | ¥ 215 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR00214   | 260305/楢木野萌/プロンプト（お絵描きムービー）/LP2-CR00214            | AI_4        |        1 | ¥   5,914 |   3,424 |     31 |  0.91% | ¥ 191 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01112   | 260327/鈴木織大/庭動画_男性_冒頭1/LP1-CR01112                 | AI_1        |        1 | ¥   5,408 |   4,142 |     15 |  0.36% | ¥ 361 |      3 | ¥ 1,803 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01143   | 260401/高橋海斗/Tier表_tt/LP1-CR01143                   | AI_1        |        1 | ¥   5,242 |   3,213 |     20 |  0.62% | ¥ 262 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01103   | 260326/鈴木織大/2026年AIツール_全ツール紹介_CTAあり/LP1-CR01103    | AI_1        |        1 | ¥   5,140 |   2,376 |     19 |  0.80% | ¥ 271 |      1 | ¥ 5,140 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01086   | 260322/鈴木織大/ClaudeCodeレベル/LP1-CR01086              | AI_4        |        1 | ¥   4,993 |   2,672 |     21 |  0.79% | ¥ 238 |      0 | ¥     0 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01106   | 260326/鈴木織大/ClaudeCode解説/LP1-CR01106               | AI_1        |        1 | ¥   4,973 |   2,795 |     29 |  1.04% | ¥ 171 |      1 | ¥ 4,973 |     1 |   0 |    0 |      0 |   0.0% |          -
CR01129   | 260328/高橋海斗/Claude_Codeちえみさんver (1)/LP1-CR01129    | AI_1        |        1 | ¥   4,892 |   4,499 |     26 |  0.58% | ¥ 188 |      1 | ¥ 4,892 |     2 |   0 |    0 |      0 |   0.0% |          -
CR00227   | 260317/AI/スマ AIまとめ(林社長関連)/LP2-CR00227              | AI_3        |        1 | ¥   4,792 |  14,795 |     43 |  0.29% | ¥ 111 |      0 | ¥     0 |     0 |   0 |    0 |      0 |      - |          -
CR01085   | 260321/千葉信輝/LP2勝ちCR/LP1-CR01085                    | AI_2        |        1 | ¥   4,771 |  18,402 |    239 |  1.30% | ¥  20 |      1 | ¥ 4,771 |     2 |   1 |    0 |      1 |  50.0% |     ¥4,771
CR01044   | 260312/AI/AI全部やめました富士山Ver/LP1-CR01044              | AI_1        |        1 | ¥   4,667 |   4,067 |     13 |  0.32% | ¥ 359 |      1 | ¥ 4,667 |     1 |   0 |    0 |      0 |   0.0% |          -
