広告ID,広告名,広告セット名,キャンペーン名,訴求名,登録経路,インプレッション,クリック,消費額,TikTok CV,スプレッドシートCV数,フロント販売本数,CPM,CTR(%),CVR(%),CPA,フロントCPO
"1849871528575090","問題ないです_ライブ配信_林先生バージョン3_02_TT.mp4","広告セット ","【1126_複製】010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022","AI","",314731,1171,241258.00,66,0,0,766.55,0.3721,0.0000,0,0
"1849871300722786","【11月特典】林社長 二極化 副業会社員","広告セット ","1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー","AI","",96298,364,239035.00,26,0,0,2482.24,0.3780,0.0000,0,0
"1849871209048082","二極化(AI)_副業会社員_冒頭2_TikTok (1)_4WlhbxNr.mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",180472,626,228717.00,44,0,0,1267.33,0.3469,0.0000,0,0
"1849871090686114","＃納品_【冒頭】林社長AI大当たりCR_冒頭差し替え_台３冒２_TT (1).mp4","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",321274,914,223487.00,42,0,0,695.63,0.2845,0.0000,0,0
"1849922642482193","AI_Editor_1764158169722_editor_export_1080p","広告セット ","251127 AI スマ AIまとめ(ヒカル)  LP2-CR00132","AI","",233904,797,215309.00,37,0,0,920.50,0.3407,0.0000,0,0
"1849871142029329","【TikTok】冒頭②_V2OPzfsy.mp4","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",229071,689,210021.00,39,0,0,916.84,0.3008,0.0000,0,0
"1850037802851378","【TikTok】ホリエモン冒頭②BGM強化_wch3SCJt.mp4","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673","AI","",251752,1175,209428.00,42,0,0,831.88,0.4667,0.0000,0,0
"1850922676682897","【TikTok4】箕輪さん→林社長→ホリエモンさん→AI学ぶな_hxw6I03G.mp4","②③①","251208 AI スマ AIまとめ(著名人 冒頭連続)  LP2-CR000140","AI","",133202,399,190561.00,17,0,0,1430.62,0.2995,0.0000,0,0
"1849871528576146","＃納品_【冒頭】林社長AI大当たりCR_冒頭差し替え_台３冒２_TT (1).mp4","広告セット ","【1126_複製】010/03 AI スマ AIまとめ(1004休日強化)  LP2-CR00022","AI","",146131,496,189378.00,32,0,0,1295.95,0.3394,0.0000,0,0
"1849871440911474","【AI】年商30億社長の1日8_KuY43mIU.mp4","7個の広告セット をコピー","251119 AI スマ 年商30億企業の社長  LP2-CR00076-83","AI","",141864,2248,186490.00,49,0,0,1314.57,1.5846,0.0000,0,0
"1849903267935393","【TikTok】ヒカルさん→AI学ぶな.mp4","251127 ノンタゲ","251127/AI/ヒカルさんCR/LP1-CR00667～CR00669","AI","",176938,791,185617.00,30,0,0,1049.05,0.4470,0.0000,0,0
"1850499560033297","Meta43_(冒頭⑤_権威製2_オファーあり_社会証明なし_CTA別あり)_qIy8Dro5.mp4","事業家","251121 AI スマ 二極化 検証  LP2-CR00092-95","AI","",173823,726,172902.00,25,0,0,994.70,0.4177,0.0000,0,0
"1849871209051298","AI訴求 (1.25)_ydSUkOBt.mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",93380,399,167805.00,40,0,0,1797.01,0.4273,0.0000,0,0
"1849941509925938","ピザ（問題ないです- フォロワー100人）TT1.mp.mp4","251128　ノンタゲ","251128 セン タゲ CR586～CR587　ピザ→問題ないです","SNS","",97999,629,165882.00,36,0,0,1692.69,0.6418,0.0000,0,0
"1851474545258610","台本３-tiktok_EftG60b2.mp4-Music_Refresh-0-1_1762923674","1個のスマプラをコピー","251214/清水絢吾/スマプラ/セミナーガチャ/LP2-CR00158","Unknown","",184254,492,165089.00,12,0,0,895.99,0.2670,0.0000,0,0
"1850739532109922","箕輪 さん切り抜きTiktTok⑤【AI訴求】これ間違いです_J5gYAGrK.mp4","251206 複製","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー","AI","",316231,1098,164266.00,18,0,0,519.45,0.3472,0.0000,0,0
"1849871247863921","AIで売上3兆円を目指す_nc2STjei.mp4","広告セット 20251108104919","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー","AI","",86290,479,163277.00,17,0,0,1892.19,0.5551,0.0000,0,0
"1850740074860625","新冒頭③これ間違いです_dX2cMCH5.mp4","251206 複製","251108 AI スマ AIまとめ(ホリエモン関連_ピクセル1)  LP1-CR00646","AI","",241460,796,162906.00,25,0,0,674.67,0.3297,0.0000,0,0
"1849871090652337","二極化(AI)_副業会社員_冒頭2_TikTok (1)_4WlhbxNr.mp4","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",179324,500,161889.00,34,0,0,902.77,0.2788,0.0000,0,0
"1849903550034017","＃納品_はいそこまで_欲求刺激_TT_9D3KizG4.mp4","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033","SNS","",104338,539,160340.00,65,0,0,1536.74,0.5166,0.0000,0,0
"1849871142031553","250902/鈴木織大/パクるやつ多すぎ/冒頭カミナリ","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","TikTok広告-AI-冒頭カミナリ",138732,428,158847.00,28,0,0,1144.99,0.3085,0.0000,0,0
"1849871300723746","【11月特典】林社長 問題ないです ChatGPT","広告セット ","1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー","AI","",211211,609,157653.00,24,0,0,746.42,0.2883,0.0000,0,0
"1850922688695298","【TikTok6】林社長→箕輪さん→ホリエモンさん→AI学ぶな_zJbvdSZr.mp4","③②①","251208 AI スマ AIまとめ(著名人 冒頭連続)  LP2-CR000140","AI","",179538,618,149541.00,13,0,0,832.92,0.3442,0.0000,0,0
"1849871142031601","パクるやつ多すぎ/ループ1秒","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",118330,507,148182.00,42,0,0,1252.28,0.4285,0.0000,0,0
"1851140923617442","問題ないです_ライブ配信_林先生バージョン3_02_TT.mp4","1211＿複製","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",177484,637,141607.00,34,0,0,797.86,0.3589,0.0000,0,0
"1851739256150401","新冒頭③これ間違いです_v5roHq2n.mp4","1211＿複製","【複製_1217】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00170","AI","",255358,1067,136309.00,34,0,0,533.80,0.4178,0.0000,0,0
"1851544022657058","台本３-tiktok_EftG60b2.mp4-Music_Refresh-0-1_1762923674","LP2-CR00159","251215/清水絢吾/はいそこまで(セミナー)//LP2-CR00159","Unknown","",79931,350,132553.00,20,0,0,1658.34,0.4379,0.0000,0,0
"1849871300723714","【11月特典】林社長 説明しよう","広告セット ","1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー","AI","",100749,276,131931.00,17,0,0,1309.50,0.2739,0.0000,0,0
"1849871354575986","AI-generated Video 8f3fcac5","広告セット 20250911021302","1個の1個の【複製_1110】251019/セミ/スマ/セミまとめ(開催決定まとめ)/LP1-CR00013をコピーをコピーをコピーをコピーをコピー","Unknown","",108797,477,128219.00,32,0,0,1178.52,0.4384,0.0000,0,0
"1849871142030433","一過性のノウハウ/テストなし.mp4","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",110323,359,124267.00,32,0,0,1126.39,0.3254,0.0000,0,0
"1849922642482177","【TikTok】ヒカルさん→AI学ぶな_kQhnjgPW.mp4","広告セット ","251127 AI スマ AIまとめ(ヒカル)  LP2-CR00132","AI","",157999,627,118676.00,18,0,0,751.12,0.3968,0.0000,0,0
"1849871090650161","箕輪 さん切り抜きTiktTok⑤【AI訴求】これ間違いです_ids6m4YB.mp4","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",170439,682,115157.00,16,0,0,675.65,0.4001,0.0000,0,0
"1849903445000418","＃納品_はいそこまで_全部_TT_oRLk4qv0.mp4","広告セット 20250902064213","251115/セン/SNSまとめ(ガチャ)/LP2-CR00036","SNS","",47401,334,103684.00,32,0,0,2187.38,0.7046,0.0000,0,0
"1849904807269410","【TikTok6】林社長→箕輪さん→ホリエモンさん→AI学ぶな_zJbvdSZr.mp4","③②①","251126 AI スマ 著名人 冒頭連続  LP2-CR000123-131","AI","",115979,506,102886.00,20,0,0,887.11,0.4363,0.0000,0,0
"1849871142030449","パクるやつ多すぎ（AI）_テストなし_AI_Xjk6UJ4K.mp4","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",106158,345,102468.00,16,0,0,965.24,0.3250,0.0000,0,0
"1851140923618306","二極化(AI)_副業会社員_冒頭2_TikTok (1)_4WlhbxNr.mp4","1211＿複製","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",100062,288,102397.00,30,0,0,1023.34,0.2878,0.0000,0,0
"1849872326650882","TikTok冒頭④まちがっている_セミナー_dblDu6Hz.mp4","2個の広告セット 20251112012551をコピー","251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85","Unknown","",115862,462,100666.00,27,0,0,868.84,0.3988,0.0000,0,0
"1849871767993393","TikTok冒頭①セミナーダイジェスト_l6P1INb5.mp4","広告セット 20251112012551","251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85","Unknown","",123587,466,98678.00,14,0,0,798.45,0.3771,0.0000,0,0
"1851932524977442","台本３-tiktok_EftG60b2.mp4-Music_Refresh-0-1_1762923674","LP2-CR00159","1個の251215/清水絢吾/はいそこまで(セミナー)//LP2-CR00159をコピー","Unknown","",54903,267,94674.00,9,0,0,1724.39,0.4863,0.0000,0,0
"1849871142032625","【11月特典】１年後悔","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",70290,300,92989.00,29,0,0,1322.93,0.4268,0.0000,0,0
"1850037802849298","【TikTok2】ホリエモンさん→林社長→箕輪さん→AI学ぶな_wNar5bEk.mp4","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673","AI","",106129,468,92710.00,6,0,0,873.56,0.4410,0.0000,0,0
"1849904698304802","【TikTok4】箕輪さん→林社長→ホリエモンさん→AI学ぶな_hxw6I03G.mp4","②③①","251126 AI スマ 著名人 冒頭連続  LP2-CR000123-131","AI","",64654,230,91963.00,13,0,0,1422.39,0.3557,0.0000,0,0
"1851232103543858","【TikTok4】箕輪さん→林社長→ホリエモンさん→AI学ぶな_hxw6I03G.mp4","②③①","1個の251208 AI スマ AIまとめ(著名人 冒頭連続)  LP2-CR000140をコピー","AI","",53720,193,91464.00,5,0,0,1702.61,0.3593,0.0000,0,0
"1851226793048130","TikTok④おい会社員（クリーン）_nUWFpDgq.mp4","コピー4","251212/清水絢吾/おい会社員(クリーン)/LP2-CR00145-151","Unknown","",43466,234,90948.00,3,0,0,2092.39,0.5384,0.0000,0,0
"1849871209051282","箕輪 さん切り抜きTiktTok⑤【AI訴求】これ間違いです_ids6m4YB.mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",118000,379,90892.00,14,0,0,770.27,0.3212,0.0000,0,0
"1849871857638465","【1】TT⑥権威-実績→CTA有 元BGM.mp4","4個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108","Unknown","",53464,453,89403.00,37,0,0,1672.21,0.8473,0.0000,0,0
"1850632642150401","【TikTok】1年後悔_セミナーver-_7iGMtFJr.mp4","咳き込み_CTA/LP2-CR00132","251205/清水絢吾/1年後悔 セミナー/LP2-CR00132","Unknown","",97091,806,89088.00,22,0,0,917.57,0.8301,0.0000,0,0
"1850633569367058","TikTok_おい、会社員_セミナーVer.(クリーン演出なし)_freBh28m.mp4","一年後悔冒頭/LP2-CR00133","251205/清水絢吾/おい会社員(クリーン)/LP2-CR00133","Unknown","",84149,675,88968.00,19,0,0,1057.27,0.8021,0.0000,0,0
"1849872090871889","【13】TT⑥権威-実績→CTA無 新BGM.mp4","5個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108","Unknown","",57363,498,87404.00,91,0,0,1523.70,0.8682,0.0000,0,0
"1851226804843634","TikTok②おい会社員（クリーン）_yRQ1l7r3.mp4","コピー2","251212/清水絢吾/おい会社員(クリーン)/LP2-CR00145-151","Unknown","",26584,281,87259.00,13,0,0,3282.39,1.0570,0.0000,0,0
"1849871142032593","【11月特典】二極化フリーランス","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",117495,331,87040.00,17,0,0,740.80,0.2817,0.0000,0,0
"1849817805849617","大学生の時の俺へTikTok_WwcOLDTu.mp4","251126　ノンタゲ","251126 セン タゲ CR544　大学生の時の俺へ","SNS","",48164,480,86405.00,26,0,0,1793.97,0.9966,0.0000,0,0
"1849871090653425","一過性のノウハウ_テストなし_AI (2)_IH1Sv7cl.mp4","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",94947,353,85379.00,17,0,0,899.23,0.3718,0.0000,0,0
"1849872624252050","【BGM AI】林社長冒頭① AI学ぶな","冒頭①","251126/AI/AI学ぶな (林社長)/LP2-CR00110-111","AI","",103315,6125,83910.00,13,0,0,812.18,5.9285,0.0000,0,0
"1851140923619442","＃納品_【冒頭】林社長AI大当たりCR_冒頭差し替え_台３冒２_TT (1).mp4","1211＿複製","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",165742,521,83496.00,24,0,0,503.77,0.3143,0.0000,0,0
"1849903768305890","生意気なスタッフ_冒頭1_オファー1_AI_Tik.mp4","251126　ノンタゲ","251126 AI タゲ CR628　生意気なスタッフ","AI","",38658,263,77562.00,18,0,0,2006.36,0.6803,0.0000,0,0
"1849871247864849","箕輪 さん切り抜きTiktTok⑥【AI訴求】これ間違いです_6e4EqICr.mp4","広告セット 20251108104919","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー","AI","",68083,242,76411.00,12,0,0,1122.32,0.3554,0.0000,0,0
"1849871142029345","AI_Editor_1763716618420","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",60314,177,76259.00,9,0,0,1264.37,0.2935,0.0000,0,0
"1849871209050226","新冒頭②これ間違いです_UBV76AJk.mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",86921,567,75592.00,7,0,0,869.66,0.6523,0.0000,0,0
"1849871209048114","TT冒頭1ver_1_RWQBy0mp.mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",72493,499,74849.00,13,0,0,1032.50,0.6883,0.0000,0,0
"1850037802851362","【TikTok】ホリエモン冒頭③BGM強化_E8sN3rPa.mp4","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673","AI","",73304,362,73873.00,14,0,0,1007.76,0.4938,0.0000,0,0
"1851651918218497","納品_後悔書くTTアップ冒頭_5p0JfOcD.mp4","スマプラ","251216/清水絢吾/スマプラ/二極化・シーン・後悔/LP2-CR00169","AI","",40159,429,72943.00,21,0,0,1816.35,1.0683,0.0000,0,0
"1851232092046481","【TikTok6】林社長→箕輪さん→ホリエモンさん→AI学ぶな_zJbvdSZr.mp4","③②①","1個の251208 AI スマ AIまとめ(著名人 冒頭連続)  LP2-CR000140をコピー","AI","",191115,869,69844.00,13,0,0,365.46,0.4547,0.0000,0,0
"1851650547935234","【TikTok】箕輪 さん⑤→AI学ぶな_a8R6nhV4.mp4","スマプラ","251216/清水絢吾/スマプラ/著名人コピー違い/LP1-CR00718","AI","",77859,383,67640.00,25,0,0,868.75,0.4919,0.0000,0,0
"1849871582832721","TikTok冒頭①まちがっている_セミナー-_lDVgvusE.mp4","1個の広告セット 20251112012551をコピー","251112/セミ/スマ/セミまとめ(ホリエモン新規冒頭)/LP1-CR00073-85","Unknown","",69591,571,67561.00,55,0,0,970.83,0.8205,0.0000,0,0
"1850498030524593","【正直に答えてね】ChatGPTでマネタイズ目指している人全員に聞きます。_EegV8y9U.mp4","ChatGPT","251119 AI スマ 正直に答えてね  LP2-CR00084-91","AI","",45155,173,67419.00,10,0,0,1493.06,0.3831,0.0000,0,0
"1849871209050210","【11月特典】１年後悔","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",50027,197,65918.00,8,0,0,1317.65,0.3938,0.0000,0,0
"1849871090651233","新冒頭②これ間違いです_UBV76AJk.mp4","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",73065,352,65479.00,11,0,0,896.17,0.4818,0.0000,0,0
"1850037802851330","【TiktTok】箕輪 さん冒頭②BGM強化_URdncqox.mp4","広告セット 20251108104919","251128 AI スマ AIまとめ(著名人)  LP1-CR00673","AI","",68077,337,65252.00,8,0,0,958.50,0.4950,0.0000,0,0
"1849872225743906","TT_11UGCごとこうさん_3MqVQezB.mp4","4個の広告セットCR00045-55をコピー","251108/セミ/ダイジェスト冒頭テスト/LP2-CR00045-55","Unknown","",32235,203,65046.00,44,0,0,2017.87,0.6298,0.0000,0,0
"1849903541909554","【TikTok】ヒカルさん→問題ないです本文.mp4","251127 ノンタゲ","251127/AI/ヒカルさんCR/LP1-CR00667～CR00669","AI","",59862,215,64002.00,10,0,0,1069.16,0.3592,0.0000,0,0
"1851226782279761","TikTok⑥おい会社員（クリーン）_6TQ2jd5A.mp4","コピー6","251212/清水絢吾/おい会社員(クリーン)/LP2-CR00145-151","Unknown","",35165,210,63195.00,8,0,0,1797.10,0.5972,0.0000,0,0
"1849871883224162","【8】TT⑩トレンド→CTA無 元BGM.mp4","3個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108","Unknown","",41505,364,62981.00,64,0,0,1517.43,0.8770,0.0000,0,0
"1852044919577634","[納品]二極化_教室ver_副業月7桁_TT.mp4","251221　ノンタゲ","251221/AI/二極化_教室Ver/LP1-CR00721～CR00726","AI","",33677,208,62746.00,18,0,0,1863.17,0.6176,0.0000,0,0
"1849903550036993","タイムショック_テストなし_SNS_0n8a29mT.mp4","広告セット 20250902064213","251024/セン/SNSまとめ(勝)/LP2-CR00033","SNS","",109180,991,62738.00,16,0,0,574.63,0.9077,0.0000,0,0
"1849871300722754","【11月特典】林社長 説明しよう-Music_Refresh-0-1_1762140696","広告セット ","1個の251031 AI スマ AIまとめ(11月オファー強化_林社長関連)  LP2-CR00032をコピー","AI","",44848,108,62704.00,5,0,0,1398.14,0.2408,0.0000,0,0
"1849871142033425","問題ないです_シーン訴求(一人称)②tiktok_1_ulvnkhJM.mp4","広告セット 20251108104919","251121 AI スマ AIまとめ(ガチャ_ピクセル1)  LP1-CR00661","AI","",65132,202,62438.00,6,0,0,958.64,0.3101,0.0000,0,0
"1849873223562338","トレンドデジタル疎いtt_1_F0qc9Onv.mp4","2個の広告セットCR00054をコピー","251110/AI/タゲ/シーン×問題ないです/LP2-CR00054-56","AI","",55637,4213,61390.00,14,0,0,1103.40,7.5723,0.0000,0,0
"1852044916112385","[納品]二極化_教室ver_フリーランス月7桁_TT.mp4","251221　ノンタゲ","251221/AI/二極化_教室Ver/LP1-CR00721～CR00726","AI","",58231,324,61094.00,12,0,0,1049.17,0.5564,0.0000,0,0
"1850499486935074","Meta27_(冒頭④_権威製2_オファーあり_社会証明なし_CTA別あり)_A5v1bHrD.mp4","起業","251121 AI スマ 二極化 検証  LP2-CR00092-95","AI","",26742,116,58507.00,10,0,0,2187.83,0.4338,0.0000,0,0
"1849871209047346","一過性のノウハウ_テストなし_AI (2)_IH1Sv7cl.mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",66050,279,57113.00,17,0,0,864.69,0.4224,0.0000,0,0
"1849871090686130","【11月特典】林社長 説明しよう","広告セット ","【複製_1211】251107 AI スマ AIまとめ(箕輪＆3兆円)  LP2-CR00048 141","AI","",35953,138,56781.00,11,0,0,1579.31,0.3838,0.0000,0,0
"1849871861777473","【14】TT⑨キャンペーン-実績→CTA無 新BGM-_mYwKBNCo.mp4","1個の1118_広告セット 20251113110929をコピー","251120/セミ/スマ/新ダイジェスト/LP2-CR00103-108","Unknown","",38157,232,56458.00,30,0,0,1479.62,0.6080,0.0000,0,0
"1849871209048098","【TikTok】冒頭②_V2OPzfsy.mp4","広告セット ","11/16 AI スマ AIまとめ(ガチャ)  LP2-CR00071","AI","",56256,216,56316.00,12,0,0,1001.07,0.3840,0.0000,0,0
"1850045074310194","TT_1(冒頭①_権威製1_オファーあり_社会証明あり_CTA別あり)_DsRiEgkh.mp4","広告セット 20251108104919","251128 AI スマ AIまとめ(二極化 1年後悔)  LP2-CR00138","AI","",41804,147,55625.00,2,0,0,1330.61,0.3516,0.0000,0,0
"1849873316745233","【TiktTok】箕輪 さん冒頭①BGM強化_FIvyhNwJ.mp4","箕輪さん②","251126 AI スマ 著名人 AI学ぶな  LP2-CR000123-131","AI","",48978,178,55241.00,6,0,0,1127.87,0.3634,0.0000,0,0
"1851226782237809","TikTok⑦おい会社員（クリーン）_zgqXW1s0.mp4","コピー7","251212/清水絢吾/おい会社員(クリーン)/LP2-CR00145-151","Unknown","",20285,210,54859.00,12,0,0,2704.41,1.0352,0.0000,0,0
"1850739532109890","箕輪 さん切り抜きTiktTok⑥【AI訴求】これ間違いです_6e4EqICr.mp4","251206 複製","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー","AI","",90285,294,54695.00,9,0,0,605.80,0.3256,0.0000,0,0
"1852719471303809","セミナー開催決定 ver2_冒頭4_TT_ok2zlwfy.mp4","174","【複製_1228】251221/清水絢吾/開催決定ver2/LP2-CR00171-180","Unknown","",31930,113,54476.00,7,0,0,1706.11,0.3539,0.0000,0,0
"1851225283143777","【TikTok】箕輪 さん⑥→AI学ぶな_ytZciGTn.mp4","箕輪さん","251211/清水絢吾/著名人冒頭/コピーテスト/LP2-CR00142-161","AI","",61242,835,54448.00,15,0,0,889.06,1.3634,0.0000,0,0
"1852046304879634","TT_冒頭7_正直に答えてね.mp4","251221　ノンタゲ","251221/AI/正直に答えてね/LP1-CR00727～CR00733","AI","",36174,201,53773.00,10,0,0,1486.51,0.5556,0.0000,0,0
"1850739532108898","AIで売上3兆円を目指す_nc2STjei.mp4","251206 複製","1個の251108 AI スマ AIまとめ(箕輪＆3兆円_ピクセル1)  LP1-CR00647をコピー","AI","",25266,170,53490.00,3,0,0,2117.07,0.6728,0.0000,0,0
"1850499442970802","Meta11_(冒頭③_権威製2_オファーあり_社会証明なし_CTA別あり)_bHj27s5t.mp4","独立","251121 AI スマ 二極化 検証  LP2-CR00092-95","AI","",42888,130,53006.00,6,0,0,1235.92,0.3031,0.0000,0,0
