=== AI導線 CRごとの個別予約CPO ===
対象期間: 2026-02-01 〜 2026-02-18

--- 予約ありCRのCPO（CPO良い順） ---
LP-CR,CR番号,予約数,広告費,CPO,広告数,広告名
LP1-CR00107,CR00107,1,0,0,0,""
LP2-CR00021,CR00021,1,0,0,0,""
LP1-CR00661,CR00661,1,0,0,0,""
LP1-CR00604,CR00604,1,0,0,0,""
LP2-CR00019,CR00019,2,0,0,0,""
LP2-CR00141,CR00141,1,0,0,2,"251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141 / 251211/清水絢吾/スマプラ/箕輪＆3兆円/LP2-CR00141"
LP1-CR00143,CR00143,1,0,0,0,""
LP1-CR00646,CR00646,3,0,0,1,"251114/清水絢吾/スマプラ/ホリエモン_AI2/LP1-CR00646"
LP1-CR00299,CR00299,1,0,0,0,""
LP1-CR00097,CR00097,1,0,0,0,""
LP2-CR00064,CR00064,1,0,0,0,""
LP2-CR00035,CR00035,1,0,0,1,"251114/清水絢吾/スマプラ/11月特典/LP2-CR00035"
LP2-CR00031,CR00031,1,0,0,0,""
LP2-CR00120,CR00120,1,0,0,0,""
LP2-CR00072,CR00072,1,0,0,0,""
LP1-CR00474,CR00474,1,0,0,0,""
LP2-CR00030,CR00030,1,0,0,0,""
LP1-CR00873,CR00873,1,4034,4034,1,"260212/千葉信輝/生意気なスタッフ冒頭2/LP1-CR00873"
LP1-CR00839,CR00839,1,12266,12266,1,"260205/高橋海斗/やれやめろ（編集強化）/LP1-CR00839"
LP1-CR00836,CR00836,2,34740,17370,1,"260205/鈴木織大/林社長A/LP1-CR00836"
LP1-CR00849,CR00849,1,24107,24107,1,"260207/荻野豪太/急募＿GPT/LP1-CR00849"
LP1-CR00807,CR00807,4,99543,24886,1,"260127/石黒研太/AI副業の嘘2（AI訴求）毎日投稿/LP1-CR00807"
LP1-CR00863,CR00863,1,26494,26494,1,"260209/千葉信輝/正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）/LP1-CR00863"
LP1-CR00846,CR00846,1,28398,28398,1,"260206/鈴木織大/収益発表 手取り18万_不審者/LP1-CR00846"
LP1-CR00835,CR00835,1,30661,30661,1,"260205/高橋海斗/やれやめろ（編集強化Ver）/LP1-CR00835"
LP1-CR00797,CR00797,3,98213,32738,1,"260127/高橋海斗/やれやめろ＿編集強化/LP1-CR00797"
LP1-CR00817,CR00817,3,153412,51137,1,"260129/千葉信輝/正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）正直に答えてね① 1年後悔-奇行 パワポ終焉 Claudeが重要 パクるやつ多すぎ やれやめろ（編集強化Ver）/LP1-CR00817"
LP1-CR00822,CR00822,1,51973,51973,1,"260201/高橋海斗/パワポ終焉動画ID変更Ver/LP1-CR00822"
LP2-CR00189,CR00189,1,101556,101556,1,"260215/千葉信輝/お絵描きムービー（プロンプト）/LP2-CR00189"

合計（予約ありCRのみ）,,40,665397,16635,,
合計（全CR）,,40,1589714,39743,,


--- 全CR一覧（CPO良い順 → 広告費高い順） ---
LP-CR,CR番号,予約数,広告費,CPO,広告数
LP1-CR00825,CR00825,0,6745,予約なし,1
LP1-CR00843,CR00843,0,6710,予約なし,1
LP1-CR00830,CR00830,0,6691,予約なし,1
LP1-CR00841,CR00841,0,6676,予約なし,1
LP1-CR00861,CR00861,0,6658,予約なし,1
LP1-CR00831,CR00831,0,6653,予約なし,1
LP1-CR00865,CR00865,0,6535,予約なし,1
LP1-CR00842,CR00842,0,6476,予約なし,1
LP1-CR00856,CR00856,0,6475,予約なし,1
LP1-CR00855,CR00855,0,6465,予約なし,1
LP1-CR00857,CR00857,0,6228,予約なし,1
LP1-CR00893,CR00893,0,6011,予約なし,1
LP1-CR00868,CR00868,0,5795,予約なし,1
LP1-CR00901,CR00901,0,5731,予約なし,1
LP1-CR00885,CR00885,0,5649,予約なし,1
LP1-CR00895,CR00895,0,5617,予約なし,1
LP1-CR00894,CR00894,0,5566,予約なし,1
LP2-CR00191,CR00191,0,5522,予約なし,1
LP2-CR00187,CR00187,0,5497,予約なし,1
LP2-CR00194,CR00194,0,5330,予約なし,1
LP1-CR00897,CR00897,0,5316,予約なし,1
LP2-CR00196,CR00196,0,5315,予約なし,1
LP1-CR00900,CR00900,0,5029,予約なし,1
LP2-CR00192,CR00192,0,4820,予約なし,1
LP1-CR00892,CR00892,0,4688,予約なし,1
LP2-CR00190,CR00190,0,4350,予約なし,1
LP1-CR00896,CR00896,0,4331,予約なし,1
LP1-CR00881,CR00881,0,4245,予約なし,1
LP1-CR00870,CR00870,0,4205,予約なし,1
LP1-CR00883,CR00883,0,4191,予約なし,1
LP1-CR00898,CR00898,0,4186,予約なし,1
LP1-CR00828,CR00828,0,4140,予約なし,1
LP1-CR00876,CR00876,0,4132,予約なし,1
LP1-CR00871,CR00871,0,4111,予約なし,1
LP1-CR00882,CR00882,0,4074,予約なし,1
LP1-CR00872,CR00872,0,4031,予約なし,1
LP1-CR00888,CR00888,0,3991,予約なし,1
LP1-CR00829,CR00829,0,3954,予約なし,1
LP1-CR00845,CR00845,0,3911,予約なし,1
LP2-CR00193,CR00193,0,3900,予約なし,1
LP1-CR00879,CR00879,0,3795,予約なし,1
LP1-CR00880,CR00880,0,3793,予約なし,1
LP1-CR00853,CR00853,0,3773,予約なし,1
LP1-CR00887,CR00887,0,3679,予約なし,1
LP1-CR00886,CR00886,0,3587,予約なし,1
LP1-CR00877,CR00877,0,3329,予約なし,1
LP2-CR00185,CR00185,0,3061,予約なし,1
LP1-CR00903,CR00903,0,3036,予約なし,1
LP1-CR00905,CR00905,0,2892,予約なし,1
LP1-CR00904,CR00904,0,2875,予約なし,1
LP2-CR00198,CR00198,0,2408,予約なし,1
LP2-CR00197,CR00197,0,2273,予約なし,1
LP1-CR00819,CR00819,0,1862,予約なし,1
LP1-CR00859,CR00859,0,1,予約なし,1
LP1-CR00721,CR00721,0,0,予約なし,1
LP1-CR00739,CR00739,0,0,予約なし,1
LP1-CR00745,CR00745,0,0,予約なし,1
LP1-CR00747,CR00747,0,0,予約なし,1
LP1-CR00749,CR00749,0,0,予約なし,1
LP1-CR00751,CR00751,0,0,予約なし,1
LP1-CR00753,CR00753,0,0,予約なし,1
LP1-CR00754,CR00754,0,0,予約なし,1
LP1-CR00755,CR00755,0,0,予約なし,1
LP1-CR00756,CR00756,0,0,予約なし,1
LP1-CR00767,CR00767,0,0,予約なし,1
LP1-CR00768,CR00768,0,0,予約なし,1
LP1-CR00770,CR00770,0,0,予約なし,1
LP1-CR00774,CR00774,0,0,予約なし,1
LP1-CR00778,CR00778,0,0,予約なし,1
LP1-CR00790,CR00790,0,0,予約なし,1
LP1-CR00792,CR00792,0,0,予約なし,1
LP1-CR00793,CR00793,0,0,予約なし,1
LP1-CR00794,CR00794,0,0,予約なし,1
LP1-CR00796,CR00796,0,0,予約なし,1
LP1-CR00798,CR00798,0,0,予約なし,1
LP1-CR00799,CR00799,0,0,予約なし,1
LP1-CR00801,CR00801,0,0,予約なし,1
LP1-CR00803,CR00803,0,0,予約なし,1
LP1-CR00805,CR00805,0,0,予約なし,1
LP1-CR00804,CR00804,0,0,予約なし,1
LP1-CR00810,CR00810,0,0,予約なし,1
LP1-CR00858,CR00858,0,0,予約なし,1
LP1-CR00673,CR00673,0,0,予約なし,1
LP1-CR00684,CR00684,0,0,予約なし,1
LP1-CR00718,CR00718,0,0,予約なし,1
LP1-CR00780,CR00780,0,0,予約なし,1
LP1-CR00809,CR00809,0,0,予約なし,1
LP1-CR00808,CR00808,0,0,予約なし,1
LP2-CR00032,CR00032,0,0,予約なし,1
LP2-CR00033,CR00033,0,0,予約なし,1
LP2-CR00038,CR00038,0,0,予約なし,1
LP2-CR00039,CR00039,0,0,予約なし,1
LP2-CR00044,CR00044,0,0,予約なし,1
LP2-CR00041,CR00041,0,0,予約なし,1
LP2-CR00047,CR00047,0,0,予約なし,1
LP2-CR00048,CR00048,0,0,予約なし,2
LP2-CR00056,CR00056,0,0,予約なし,1
LP2-CR00057,CR00057,0,0,予約なし,1
LP2-CR00058,CR00058,0,0,予約なし,1
LP2-CR00022,CR00022,0,0,予約なし,2
LP2-CR00063,CR00063,0,0,予約なし,1
LP2-CR00068,CR00068,0,0,予約なし,1
LP2-CR00069,CR00069,0,0,予約なし,1
LP2-CR00108,CR00108,0,0,予約なし,1
LP2-CR00040,CR00040,0,0,予約なし,1
LP2-CR00110,CR00110,0,0,予約なし,1
LP2-CR00139,CR00139,0,0,予約なし,1
LP2-CR00142,CR00142,0,0,予約なし,1
LP2-CR00152,CR00152,0,0,予約なし,1
LP2-CR00158,CR00158,0,0,予約なし,1
LP2-CR00156,CR00156,0,0,予約なし,1
LP2-CR00155,CR00155,0,0,予約なし,1
LP2-CR00162,CR00162,0,0,予約なし,1
LP2-CR00168,CR00168,0,0,予約なし,1
LP2-CR00169,CR00169,0,0,予約なし,1
LP2-CR00177,CR00177,0,0,予約なし,1
LP2-CR00181,CR00181,0,0,予約なし,1
LP1-CR00787,CR00787,0,0,予約なし,1
LP1-CR00788,CR00788,0,0,予約なし,1
LP1-CR00814,CR00814,0,0,予約なし,1
LP1-CR00813,CR00813,0,0,予約なし,1


--- 予約者一覧 ---
メールアドレス,登録経路,LP-CR,CR番号
kanarazukoudou@gmail.com,"TikTok広告-AI-LP1-CR00797",LP1-CR00797,CR00797
ryu.dragon.0911@i.softbank.jp,"TikTok広告-AI-LP1-CR00797",LP1-CR00797,CR00797
et92060180822@gmail.com,"TikTok広告-AI-LP1-CR00797",LP1-CR00797,CR00797
crz.aki.1999@gmail.com,"TikTok広告-AI-LP1-CR00817",LP1-CR00817,CR00817
noripanda66@gmail.com,"TikTok広告-AI-LP1-CR00817",LP1-CR00817,CR00817
tymakusa@gmail.com,"TikTok広告-AI-LP1-CR00817",LP1-CR00817,CR00817
zeeyi05367@yahoo.co.jp,"TikTok広告-AI-LP1-CR00107",LP1-CR00107,CR00107
treasure-_-truth.182@softbank.ne.jp,"TikTok広告-AI-LP2-CR00021",LP2-CR00021,CR00021
matsu463880@gmail.com,"TikTok広告-AI-LP1-CR00822",LP1-CR00822,CR00822
t.t.v.o.l.318@icloud.com,"TikTok広告-AI-LP1-CR00807",LP1-CR00807,CR00807
akkun9725@gmail.com,"TikTok広告-AI-LP1-CR00807",LP1-CR00807,CR00807
voicetakke563@gmail.com,"TikTok広告-AI-LP1-CR00807",LP1-CR00807,CR00807
ukaik0114@gmail.com,"TikTok広告-AI-LP1-CR00807",LP1-CR00807,CR00807
shiro.teruzo@gmail.com,"TikTok広告-AI-LP1-CR00661",LP1-CR00661,CR00661
matuura0313@gmail.com,"TikTok広告-AI-LP1-CR00604",LP1-CR00604,CR00604
naoking0826@gmail.com,"TikTok広告-AI-LP2-CR00019",LP2-CR00019,CR00019
waltz3795@gmail.com,"TikTok広告-AI-LP2-CR00019",LP2-CR00019,CR00019
nayandelu88@gmail.com,"TikTok広告-AI-LP1-CR00839",LP1-CR00839,CR00839
toraitorai12@gmail.com,"TikTok広告-AI-LP1-CR00836",LP1-CR00836,CR00836
hato81073@gmail.com,"TikTok広告-AI-LP1-CR00836",LP1-CR00836,CR00836
Okinawan.cc.kunikichiya.2006@ezweb.ne.jp,"TikTok広告-AI-LP1-CR00846",LP1-CR00846,CR00846
yamashooo.888@gmail.com,"TikTok広告-AI-LP1-CR00863",LP1-CR00863,CR00863
ruriku1223@gmail.com,"TikTok広告-AI-LP2-CR00141",LP2-CR00141,CR00141
kuroki@botanical.co.jp,"TikTok広告-AI-LP1-CR00143",LP1-CR00143,CR00143
t.onmaya7@gmail.com,"TikTok広告-AI-LP1-CR00835",LP1-CR00835,CR00835
kuma3.0343@gmail.com,"TikTok広告-AI-LP1-CR00646",LP1-CR00646,CR00646
nobuyukisatou654@gmail.com,"TikTok広告-AI-LP1-CR00646",LP1-CR00646,CR00646
kawakubo.66@gmail.com,"TikTok広告-AI-LP1-CR00646",LP1-CR00646,CR00646
tnriver5308@ezweb.ne.jp,"TikTok広告-AI-LP1-CR00299",LP1-CR00299,CR00299
shin.take0316@icloud.com,"TikTok広告-AI-LP1-CR00849",LP1-CR00849,CR00849
ryoko.mero@gmail.com,"TikTok広告-AI-LP1-CR00097",LP1-CR00097,CR00097
kt0108tk@gmail.com,"TikTok広告-AI-LP2-CR00064",LP2-CR00064,CR00064
yk1512yk@gmail.com,"TikTok広告-AI-LP2-CR00035",LP2-CR00035,CR00035
ban161068@gmail.com,"TikTok広告-AI-LP2-CR00031",LP2-CR00031,CR00031
magimangi7181@icloud.com,"TikTok広告-AI-LP2-CR00120",LP2-CR00120,CR00120
0mm4063v329087t@au.com,"TikTok広告-AI-LP2-CR00072",LP2-CR00072,CR00072
stumusmile0248@gmail.com,"TikTok広告-AI-LP1-CR00474",LP1-CR00474,CR00474
ttt05082891@gmail.com,"TikTok広告-AI-LP2-CR00030",LP2-CR00030,CR00030
yellow.jade0505@gmail.com,"TikTok広告-AI-LP2-CR00189",LP2-CR00189,CR00189
to70906229@gmail.com,"TikTok広告-AI-LP1-CR00873",LP1-CR00873,CR00873
